AirportCode,FlightNum,ScheduledDepature,ActualDeparture,Destination,Distance miles,ScheduledArrival,ActualArrival,DepartureTerminal,RunwayNum,WeatherConditions
LHR,FR236,0:00,0:00,AMS,230,1:20,1:20,5,2,18°C clear
LHR,U2364,0:03,0:03,CDG,216,1:23,1:21,5,2,18°C clear
LHR,SK101,0:05,0:05,BCN,713,2:15,2:16,2,2,18°C clear
LHR,BA296,0:12,0:27,AMS,230,1:32,1:47,5,2,18°C clear
LHR,AF950,0:13,0:13,CDG,216,1:33,1:33,3,2,18°C clear
LHR,TP472,0:14,0:14,FRA,407,1:49,1:49,2,2,18°C clear
LHR,IB842,0:15,0:15,CDG,216,1:35,1:29,2,1,18°C clear
LHR,AF585,0:15,0:15,AMS,230,1:35,1:33,4,1,18°C clear
LHR,U2679,0:17,0:41,IST,1550,4:12,4:36,4,1,18°C clear
LHR,AY144,0:17,0:27,FCO,898,2:52,3:02,5,1,18°C clear
LHR,BA678,0:18,0:18,FRA,407,1:53,1:53,5,1,18°C clear
LHR,U2837,0:19,0:19,FCO,898,2:54,2:54,4,2,18°C clear
LHR,FR241,0:24,0:24,BCN,713,2:34,2:34,4,2,18°C clear
LHR,AF952,0:25,0:25,BCN,713,2:35,2:35,5,2,18°C clear
LHR,BA198,0:26,0:26,FCO,898,3:01,3:01,4,1,18°C clear
LHR,U2278,0:28,0:42,CDG,216,1:48,2:02,5,2,18°C clear
LHR,U2914,0:29,0:29,FRA,407,2:04,2:04,5,2,18°C clear
LHR,KL250,0:35,5:03,IST,1550,4:30,8:52,3,1,18°C clear
LHR,AF726,0:36,0:36,IST,1550,4:31,4:31,2,2,18°C clear
LHR,LH190,0:38,0:38,IST,1550,4:33,4:33,2,2,18°C clear
LHR,AY892,0:52,1:13,FCO,898,3:27,3:48,3,1,18°C clear
LHR,U2634,0:55,0:55,LIS,975,3:40,3:38,5,1,18°C clear
LHR,U2489,0:55,0:55,AMS,230,2:15,2:15,5,2,18°C clear
LHR,BA447,0:59,1:09,FRA,407,2:34,2:35,2,1,18°C clear
LHR,FR680,0:59,1:10,MUC,586,2:54,3:05,2,1,18°C clear
LHR,LH763,0:59,1:31,BCN,713,3:09,3:59,3,1,18°C clear
LHR,BA927,1:00,1:00,MUC,586,2:55,2:55,5,2,17°C light rain
LHR,BA192,1:00,1:00,MUC,586,2:55,2:55,3,2,17°C light rain
LHR,A3780,1:04,1:04,FCO,898,3:39,3:34,3,1,17°C light rain
LHR,IB336,1:06,1:06,AMS,230,2:26,2:18,4,2,17°C light rain
LHR,AF372,1:07,1:07,MUC,586,3:02,3:02,2,2,17°C light rain
LHR,KL946,1:08,1:08,MAD,772,3:33,3:33,3,1,17°C light rain
LHR,SK360,1:11,1:11,MAD,772,3:36,3:32,3,2,17°C light rain
LHR,U2555,1:11,1:11,LIS,975,3:56,3:56,5,2,17°C light rain
LHR,BA302,1:12,1:12,MUC,586,3:07,3:08,4,1,17°C light rain
LHR,AF872,1:12,1:12,IST,1550,5:07,5:07,5,1,17°C light rain
LHR,AF863,1:13,1:15,CDG,216,2:33,2:35,4,1,17°C light rain
LHR,LH874,1:17,7:33,BCN,713,3:27,9:43,4,1,17°C light rain
LHR,BA307,1:23,1:23,LIS,975,4:08,4:08,5,1,17°C light rain
LHR,KL956,1:23,1:23,BCN,713,3:33,3:33,5,1,17°C light rain
LHR,IB853,1:23,3:51,CDG,216,2:43,5:11,4,1,17°C light rain
LHR,LH246,1:24,1:24,IST,1550,5:19,5:19,5,1,17°C light rain
LHR,A3630,1:26,1:26,IST,1550,5:21,5:38,3,1,17°C light rain
LHR,KL617,1:28,1:28,IST,1550,5:23,5:23,5,2,17°C light rain
LHR,BA479,1:30,1:30,BCN,713,3:40,3:40,2,1,17°C light rain
LHR,BA481,1:31,1:31,MUC,586,3:26,3:26,2,2,17°C light rain
LHR,BA247,1:35,2:00,AMS,230,2:55,3:11,3,1,17°C light rain
LHR,AF497,1:36,1:36,FCO,898,4:11,4:11,4,1,17°C light rain
LHR,BA400,1:36,1:36,FCO,898,4:11,4:11,5,2,17°C light rain
LHR,BA291,1:37,1:37,LIS,975,4:22,4:22,4,1,17°C light rain
LHR,BA932,1:40,2:16,IST,1550,5:35,6:10,5,2,17°C light rain
LHR,TK298,1:40,1:40,MAD,772,4:05,4:05,3,1,17°C light rain
LHR,TP878,1:42,1:42,CDG,216,3:02,3:02,2,1,17°C light rain
LHR,SK145,1:42,1:42,BCN,713,3:52,3:52,5,2,17°C light rain
LHR,AF723,1:43,6:47,FCO,898,4:18,9:16,4,1,17°C light rain
LHR,BA584,1:44,2:12,MUC,586,3:39,4:07,4,1,17°C light rain
LHR,BA311,1:46,1:46,MUC,586,3:41,3:41,4,2,17°C light rain
LHR,BA615,1:48,2:00,CDG,216,3:08,3:20,4,1,17°C light rain
LHR,BA654,1:48,2:12,IST,1550,5:43,6:19,4,1,17°C light rain
LHR,TP281,1:48,1:48,FRA,407,3:23,3:23,4,1,17°C light rain
LHR,LH729,1:49,1:49,BCN,713,3:59,3:59,4,1,17°C light rain
LHR,TP104,1:49,1:49,LIS,975,4:34,4:24,4,2,17°C light rain
LHR,BA332,1:50,2:28,FCO,898,4:25,5:03,2,1,17°C light rain
LHR,AF864,1:50,1:50,CDG,216,3:10,3:10,2,2,17°C light rain
LHR,LH400,1:53,1:53,CDG,216,3:13,3:29,2,2,17°C light rain
LHR,BA416,1:57,1:57,FRA,407,3:32,3:40,3,2,17°C light rain
LHR,A3317,2:01,2:01,CDG,216,3:21,3:39,4,1,16°C overcast
LHR,LH236,2:07,2:07,IST,1550,6:02,6:02,2,1,16°C overcast
LHR,SN189,2:08,2:08,BCN,713,4:18,4:15,4,2,16°C overcast
LHR,TP400,2:08,2:08,IST,1550,6:03,6:03,2,1,16°C overcast
LHR,FR199,2:09,2:41,IST,1550,6:04,6:45,2,1,16°C overcast
LHR,U2704,2:10,2:10,FRA,407,3:45,3:45,3,1,16°C overcast
LHR,FR916,2:12,4:34,BCN,713,4:22,6:44,3,1,16°C overcast
LHR,BA809,2:13,2:13,CDG,216,3:33,3:33,5,1,16°C overcast
LHR,LH490,2:15,2:15,AMS,230,3:35,3:35,3,1,16°C overcast
LHR,A3607,2:16,2:27,MUC,586,4:11,4:22,2,1,16°C overcast
LHR,TK190,2:17,2:17,FCO,898,4:52,4:52,3,2,16°C overcast
LHR,IB548,2:17,2:25,FCO,898,4:52,4:50,5,1,16°C overcast
LHR,U2587,2:17,2:17,LIS,975,5:02,5:02,2,1,16°C overcast
LHR,AF818,2:19,2:19,CDG,216,3:39,3:39,4,1,16°C overcast
LHR,U2947,2:24,2:24,BCN,713,4:34,4:34,4,1,16°C overcast
LHR,BA657,2:25,2:25,FCO,898,5:00,5:00,2,2,16°C overcast
LHR,U2639,2:25,2:47,MAD,772,4:50,5:12,4,2,16°C overcast
LHR,TP627,2:25,2:25,BCN,713,4:35,4:35,3,1,16°C overcast
LHR,SN845,2:27,2:27,CDG,216,3:47,3:41,2,1,16°C overcast
LHR,BA418,2:28,2:28,FCO,898,5:03,5:03,3,1,16°C overcast
LHR,AF771,2:28,3:01,AMS,230,3:48,4:21,2,1,16°C overcast
LHR,BA402,2:31,2:31,MUC,586,4:26,4:41,5,1,16°C overcast
LHR,AF350,2:32,2:32,FCO,898,5:07,5:07,4,1,16°C overcast
LHR,AF526,2:33,2:51,FCO,898,5:08,5:26,5,1,16°C overcast
LHR,LH869,2:34,4:58,MUC,586,4:29,6:53,2,2,16°C overcast
LHR,TK673,2:35,6:42,AMS,230,3:55,8:02,5,1,16°C overcast
LHR,AF525,2:35,2:35,AMS,230,3:55,3:55,4,2,16°C overcast
LHR,BA864,2:36,2:36,FCO,898,5:11,5:11,4,2,16°C overcast
LHR,BA832,2:37,2:37,LIS,975,5:22,5:22,2,1,16°C overcast
LHR,U2703,2:39,2:39,IST,1550,6:34,6:34,3,1,16°C overcast
LHR,FR478,2:40,2:40,FCO,898,5:15,5:15,3,1,16°C overcast
LHR,LH653,2:42,2:42,CDG,216,4:02,4:02,4,1,16°C overcast
LHR,A3460,2:42,2:42,FCO,898,5:17,5:17,5,1,16°C overcast
LHR,LH942,2:47,2:58,CDG,216,4:07,4:18,4,2,16°C overcast
LHR,LH602,2:48,2:48,MUC,586,4:43,4:43,2,2,16°C overcast
LHR,A3211,2:53,2:53,AMS,230,4:13,4:27,3,2,16°C overcast
LHR,FR852,2:53,3:11,MUC,586,4:48,5:06,4,1,16°C overcast
LHR,BA506,2:56,2:59,MAD,772,5:21,5:24,4,1,16°C overcast
LHR,U2361,2:56,2:56,CDG,216,4:16,4:16,4,1,16°C overcast
LHR,A3354,2:56,2:56,LIS,975,5:41,5:32,3,1,16°C overcast
LHR,U2721,2:57,7:06,IST,1550,6:52,11:14,3,1,16°C overcast
LHR,LH286,2:57,3:35,MUC,586,4:52,5:30,2,2,16°C overcast
LHR,FR672,3:02,5:29,LIS,975,5:47,8:14,3,2,16°C overcast
LHR,BA501,3:04,3:04,BCN,713,5:14,5:24,4,2,16°C overcast
LHR,QR308,3:05,3:05,MUC,586,5:00,5:00,5,2,16°C overcast
LHR,BA878,3:06,3:07,MUC,586,5:01,5:02,4,2,16°C overcast
LHR,AF519,3:07,3:07,FCO,898,5:42,5:42,3,1,16°C overcast
LHR,FR157,3:08,3:08,IST,1550,7:03,7:03,5,2,16°C overcast
LHR,FR178,3:18,3:18,AMS,230,4:38,4:38,3,1,16°C overcast
LHR,AY443,3:20,3:49,MUC,586,5:15,5:44,5,1,16°C overcast
LHR,AF865,3:20,3:20,BCN,713,5:30,5:30,4,2,16°C overcast
LHR,AF190,3:21,3:21,IST,1550,7:16,7:16,5,2,16°C overcast
LHR,QR934,3:22,3:35,FCO,898,5:57,6:10,5,1,16°C overcast
LHR,BA403,3:24,3:47,FRA,407,4:59,5:27,3,1,16°C overcast
LHR,AF514,3:29,4:00,FCO,898,6:04,6:35,2,1,16°C overcast
LHR,W6246,3:30,3:30,FRA,407,5:05,5:05,4,2,16°C overcast
LHR,AF560,3:31,3:54,LIS,975,6:16,6:39,2,1,16°C overcast
LHR,LH977,3:33,3:33,AMS,230,4:53,5:12,4,1,16°C overcast
LHR,BA103,3:36,3:36,IST,1550,7:31,7:22,5,2,16°C overcast
LHR,QR298,3:37,3:37,CDG,216,4:57,4:57,3,1,16°C overcast
LHR,U2121,3:38,3:49,BCN,713,5:48,5:49,4,2,16°C overcast
LHR,AF685,3:41,3:41,BCN,713,5:51,5:51,5,1,16°C overcast
LHR,LH698,3:42,3:42,IST,1550,7:37,7:32,2,1,16°C overcast
LHR,BA458,3:44,3:45,FRA,407,5:19,5:29,4,2,16°C overcast
LHR,BA766,3:44,3:44,CDG,216,5:04,5:04,3,2,16°C overcast
LHR,LH229,3:44,3:44,IST,1550,7:39,7:39,2,2,16°C overcast
LHR,W6308,3:44,3:44,MAD,772,6:09,6:09,4,2,16°C overcast
LHR,BA477,3:46,3:46,LIS,975,6:31,6:31,3,2,16°C overcast
LHR,QR847,3:48,3:48,CDG,216,5:08,5:08,5,2,16°C overcast
LHR,BA611,3:48,3:48,FCO,898,6:23,6:23,3,2,16°C overcast
LHR,AF744,3:49,4:14,FRA,407,5:24,5:49,4,1,16°C overcast
LHR,FR278,3:50,3:50,FRA,407,5:25,5:25,3,1,16°C overcast
LHR,BA890,3:50,4:26,BCN,713,6:00,6:47,5,2,16°C overcast
LHR,A3368,3:56,3:56,IST,1550,7:51,7:51,3,2,16°C overcast
LHR,KL750,3:58,3:58,AMS,230,5:18,5:18,3,2,16°C overcast
LHR,AF801,3:58,4:01,IST,1550,7:53,7:55,5,1,16°C overcast
LHR,BA200,3:59,4:01,FRA,407,5:34,5:36,3,2,16°C overcast
LHR,BA955,4:00,4:00,AMS,230,5:20,5:20,4,2,16°C overcast
LHR,U2466,4:04,4:04,FRA,407,5:39,5:40,2,1,16°C overcast
LHR,BA483,4:08,4:08,FCO,898,6:43,6:43,3,1,16°C overcast
LHR,FR437,4:09,4:09,MAD,772,6:34,6:34,5,1,16°C overcast
LHR,AF487,4:09,10:32,FCO,898,6:44,13:08,4,1,16°C overcast
LHR,AF149,4:11,4:11,FRA,407,5:46,5:46,5,2,16°C overcast
LHR,KL666,4:11,4:11,IST,1550,8:06,8:06,3,1,16°C overcast
LHR,KL564,4:18,4:18,CDG,216,5:38,5:55,2,1,16°C overcast
LHR,SN565,4:19,4:19,BCN,713,6:29,6:37,5,1,16°C overcast
LHR,LH155,4:22,4:22,IST,1550,8:17,8:17,5,2,16°C overcast
LHR,BA981,4:25,4:25,BCN,713,6:35,6:53,2,1,16°C overcast
LHR,SN898,4:26,4:26,FCO,898,7:01,7:01,2,2,16°C overcast
LHR,LH654,4:26,4:26,AMS,230,5:46,5:46,3,1,16°C overcast
LHR,TP929,4:31,4:31,BCN,713,6:41,6:35,2,1,16°C overcast
LHR,EK740,4:33,4:33,AMS,230,5:53,6:01,4,2,16°C overcast
LHR,QR152,4:34,4:43,FCO,898,7:09,7:18,4,1,16°C overcast
LHR,LH328,4:36,4:36,AMS,230,5:56,6:05,3,1,16°C overcast
LHR,LH311,4:37,4:37,MAD,772,7:02,7:09,3,2,16°C overcast
LHR,U2847,4:37,5:16,AMS,230,5:57,6:50,2,2,16°C overcast
LHR,BA432,4:38,4:38,BCN,713,6:48,6:58,2,1,16°C overcast
LHR,FR775,4:38,4:41,BCN,713,6:48,6:51,2,2,16°C overcast
LHR,BA122,4:42,4:42,CDG,216,6:02,6:03,5,1,16°C overcast
LHR,LH744,4:43,4:43,AMS,230,6:03,6:03,4,1,16°C overcast
LHR,BA522,4:43,5:07,FRA,407,6:18,6:42,3,1,16°C overcast
LHR,SN714,4:44,4:44,BCN,713,6:54,6:54,5,2,16°C overcast
LHR,FR139,4:44,4:44,MUC,586,6:39,6:39,3,1,16°C overcast
LHR,BA754,4:46,5:05,AMS,230,6:06,6:27,2,1,16°C overcast
LHR,TP767,4:48,4:48,AMS,230,6:08,6:21,5,1,16°C overcast
LHR,BA343,4:52,4:52,IST,1550,8:47,8:57,3,1,16°C overcast
LHR,AF222,4:54,4:54,AMS,230,6:14,6:14,4,2,16°C overcast
LHR,AF358,4:55,4:55,FRA,407,6:30,6:30,2,2,16°C overcast
LHR,BA283,4:55,5:34,FCO,898,7:30,8:09,3,1,16°C overcast
LHR,IB891,4:57,4:57,IST,1550,8:52,8:52,3,1,16°C overcast
LHR,SK264,4:59,7:15,CDG,216,6:19,8:35,3,2,16°C overcast
LHR,AF652,5:00,5:20,MUC,586,6:55,7:15,5,1,15°C heavy rain
LHR,AF866,5:03,5:26,AMS,230,6:23,6:46,5,1,15°C heavy rain
LHR,LH117,5:04,5:35,LIS,975,7:49,8:13,4,1,15°C heavy rain
LHR,BA372,5:07,5:07,MUC,586,7:02,7:02,2,1,15°C heavy rain
LHR,QR826,5:09,5:09,LIS,975,7:54,8:00,4,2,15°C heavy rain
LHR,AF677,5:10,5:10,MAD,772,7:35,7:35,4,1,15°C heavy rain
LHR,BA347,5:10,5:10,MAD,772,7:35,7:38,2,1,15°C heavy rain
LHR,BA697,5:11,5:11,CDG,216,6:31,6:31,5,2,15°C heavy rain
LHR,SK505,5:12,5:12,FCO,898,7:47,7:47,4,1,15°C heavy rain
LHR,BA537,5:15,5:15,LIS,975,8:00,8:00,4,2,15°C heavy rain
LHR,TP906,5:16,5:16,CDG,216,6:36,6:36,4,2,15°C heavy rain
LHR,AF672,5:16,5:17,FCO,898,7:51,7:52,5,1,15°C heavy rain
LHR,U2326,5:18,5:48,IST,1550,9:13,9:43,4,1,15°C heavy rain
LHR,IB415,5:18,5:23,IST,1550,9:13,9:32,4,1,15°C heavy rain
LHR,BA660,5:18,5:18,FCO,898,7:53,7:49,5,1,15°C heavy rain
LHR,BA856,5:18,6:52,BCN,713,7:28,9:08,3,1,15°C heavy rain
LHR,BA934,5:19,5:19,LIS,975,8:04,8:01,3,2,15°C heavy rain
LHR,U2349,5:19,5:48,MAD,772,7:44,8:09,2,1,15°C heavy rain
LHR,BA962,5:20,5:20,BCN,713,7:30,7:26,5,2,15°C heavy rain
LHR,AF609,5:20,5:20,AMS,230,6:40,6:40,3,2,15°C heavy rain
LHR,SK459,5:24,5:36,MAD,772,7:49,8:01,2,2,15°C heavy rain
LHR,LH178,5:27,5:27,AMS,230,6:47,6:47,5,2,15°C heavy rain
LHR,FR608,5:27,5:27,IST,1550,9:22,9:31,4,1,15°C heavy rain
LHR,TK461,5:29,5:29,MUC,586,7:24,7:27,2,1,15°C heavy rain
LHR,SN352,5:30,5:34,FRA,407,7:05,7:09,3,1,15°C heavy rain
LHR,BA513,5:31,5:31,MUC,586,7:26,7:26,4,1,15°C heavy rain
LHR,BA308,5:32,5:32,AMS,230,6:52,6:46,4,1,15°C heavy rain
LHR,TP964,5:33,5:33,BCN,713,7:43,7:51,5,2,15°C heavy rain
LHR,LH573,5:33,5:33,BCN,713,7:43,7:43,4,1,15°C heavy rain
LHR,IB391,5:34,6:13,CDG,216,6:54,7:33,2,1,15°C heavy rain
LHR,SK909,5:34,5:34,FCO,898,8:09,8:09,3,2,15°C heavy rain
LHR,BA805,5:35,5:35,AMS,230,6:55,7:13,2,1,15°C heavy rain
LHR,LH710,5:37,5:37,LIS,975,8:22,8:22,3,1,15°C heavy rain
LHR,KL828,5:42,5:42,CDG,216,7:02,7:14,2,1,15°C heavy rain
LHR,BA917,5:44,6:02,MUC,586,7:39,8:08,2,1,15°C heavy rain
LHR,BA154,5:45,5:45,FRA,407,7:20,7:20,4,1,15°C heavy rain
LHR,AF916,5:51,5:51,IST,1550,9:46,9:46,5,2,15°C heavy rain
LHR,U2448,5:56,5:56,FRA,407,7:31,7:31,3,1,15°C heavy rain
LHR,AF867,6:02,6:02,AMS,230,7:22,7:22,3,2,14°C light rain
LHR,A3733,6:03,6:07,AMS,230,7:23,7:27,3,1,14°C light rain
LHR,BA926,6:04,6:04,FRA,407,7:39,7:55,4,1,14°C light rain
LHR,SN583,6:04,6:04,FRA,407,7:39,7:33,5,2,14°C light rain
LHR,BA360,6:05,6:35,BCN,713,8:15,8:45,5,2,14°C light rain
LHR,AF474,6:06,6:29,MAD,772,8:31,8:54,5,2,14°C light rain
LHR,TP354,6:08,6:08,LIS,975,8:53,9:06,4,2,14°C light rain
LHR,BA581,6:08,6:08,MAD,772,8:33,8:33,2,1,14°C light rain
LHR,BA298,6:09,6:09,CDG,216,7:29,7:29,5,1,14°C light rain
LHR,LH156,6:11,6:11,BCN,713,8:21,8:21,5,2,14°C light rain
LHR,SK492,6:12,6:12,BCN,713,8:22,8:22,5,1,14°C light rain
LHR,FR239,6:12,6:12,IST,1550,10:07,10:07,2,1,14°C light rain
LHR,QR387,6:12,6:12,FCO,898,8:47,8:47,5,2,14°C light rain
LHR,AF632,6:12,6:12,FRA,407,7:47,7:47,4,2,14°C light rain
LHR,U2166,6:12,6:15,MUC,586,8:07,8:10,5,2,14°C light rain
LHR,BA586,6:17,6:17,AMS,230,7:37,7:37,5,2,14°C light rain
LHR,AF421,6:18,6:18,MAD,772,8:43,8:59,2,1,14°C light rain
LHR,BA850,6:19,6:19,BCN,713,8:29,8:29,5,1,14°C light rain
LHR,AF430,6:19,6:19,LIS,975,9:04,9:04,2,2,14°C light rain
LHR,TK991,6:22,6:50,BCN,713,8:32,9:00,4,1,14°C light rain
LHR,LH140,6:22,6:48,IST,1550,10:17,10:43,2,2,14°C light rain
LHR,LH325,6:24,6:24,CDG,216,7:44,7:44,3,1,14°C light rain
LHR,AF165,6:26,6:26,LIS,975,9:11,9:11,2,2,14°C light rain
LHR,U2546,6:26,6:26,AMS,230,7:46,7:46,4,1,14°C light rain
LHR,IB963,6:27,6:27,FRA,407,8:02,8:02,2,2,14°C light rain
LHR,BA751,6:28,6:28,LIS,975,9:13,9:13,2,1,14°C light rain
LHR,BA442,6:29,6:29,IST,1550,10:24,10:24,4,1,14°C light rain
LHR,BA649,6:29,6:54,FCO,898,9:04,9:42,2,1,14°C light rain
LHR,A3495,6:31,6:31,BCN,713,8:41,8:43,5,2,14°C light rain
